environment,baseline_input_label,stress_input_label,records,variant_factor,job_name,technology,baseline_median_duration_seconds,stress_median_duration_seconds,stress_duration_div_baseline,baseline_output_rows,stress_output_rows,stress_output_rows_div_baseline,baseline_run_id,stress_run_id
docker-simulation,1m,1m_hc8,1000000,8,airline_airport_ranking,Spark Core,2.010782,2.339971,1.1637119289908104,1723,13269,7.7011027278003485,20260523T232929496789Z,20260523T232929496789Z
docker-simulation,1m,1m_hc8,1000000,8,airline_airport_ranking,Spark SQL,1.033326,1.399013,1.3538931566611119,1723,13269,7.7011027278003485,20260523T232929496789Z,20260523T232929496789Z
docker-simulation,1m,1m_hc8,1000000,8,delay_by_airport_month,Spark Core,2.572794,3.536699,1.37465300369948,11861,59196,4.990810218362701,20260523T232929496789Z,20260523T232929496789Z
docker-simulation,1m,1m_hc8,1000000,8,delay_by_airport_month,Spark SQL,6.30004,7.334291,1.1641657830743932,11861,59196,4.990810218362701,20260523T232929496789Z,20260523T232929496789Z
docker-simulation,1m,1m_hc8,1000000,8,delay_by_airport_month_all_causes,Spark Core,1.972613,2.36856,1.2007220879108067,27416,92253,3.36493288590604,20260523T232929496789Z,20260523T232929496789Z
docker-simulation,1m,1m_hc8,1000000,8,delay_by_airport_month_all_causes,Spark SQL,2.947081,3.674532,1.2468378032364906,27416,92253,3.36493288590604,20260523T232929496789Z,20260523T232929496789Z
local,1m,1m_hc8,1000000,8,airline_airport_ranking,Spark Core,0.541439,0.642067,1.185852884627816,1723,13269,7.7011027278003485,20260523T232403721782Z,20260523T232403721782Z
local,1m,1m_hc8,1000000,8,airline_airport_ranking,Spark SQL,0.909316,1.185378,1.3035930303656815,1723,13269,7.7011027278003485,20260523T232403721782Z,20260523T232403721782Z
local,1m,1m_hc8,1000000,8,delay_by_airport_month,Spark Core,0.81117,1.331287,1.6411935845753667,11861,59196,4.990810218362701,20260523T232403721782Z,20260523T232403721782Z
local,1m,1m_hc8,1000000,8,delay_by_airport_month,Spark SQL,4.471043,6.097148,1.363697016557434,11861,59196,4.990810218362701,20260523T232403721782Z,20260523T232403721782Z
local,1m,1m_hc8,1000000,8,delay_by_airport_month_all_causes,Spark Core,0.495707,0.839555,1.6936516934398749,27416,92253,3.36493288590604,20260523T232403721782Z,20260523T232403721782Z
local,1m,1m_hc8,1000000,8,delay_by_airport_month_all_causes,Spark SQL,2.104379,2.697109,1.28166504227613,27416,92253,3.36493288590604,20260523T232403721782Z,20260523T232403721782Z
