origin_airport,airline,flight_count,avg_departure_delay,avg_arrival_delay,cancellation_rate,airport_avg_departure_delay,difference_from_airport_avg_departure_delay,rank_at_airport
ABE,9E,79,6.769230769230769,-4.423076923076923,0.0126582278481012,12.334448160535118,-5.565217391304349,1
ABE,G4,131,10.607692307692307,4.9765625,0.0076335877862595,12.334448160535118,-1.7267558528428104,2
ABE,OH,69,15.202898550724637,4.27536231884058,0.0,12.334448160535118,2.868450390189519,3
ABE,OO,24,33.27272727272727,22.38095238095238,0.0833333333333333,12.334448160535118,20.93827911219216,4
ABI,MQ,132,7.046153846153846,6.115384615384615,0.0151515151515151,7.046153846153846,0.0,1
ABQ,UA,141,2.7142857142857144,-4.064285714285714,0.0070921985815602,9.740632318501172,-7.026346604215457,1
ABQ,DL,123,5.049180327868853,-2.0737704918032787,0.008130081300813,9.740632318501172,-4.691451990632319,2
ABQ,OO,280,5.057553956834532,1.129496402877698,0.0071428571428571,9.740632318501172,-4.68307836166664,3
ABQ,MQ,67,5.880597014925373,5.328358208955224,0.0,9.740632318501172,-3.860035303575799,4
ABQ,WN,823,8.696078431372548,3.36319018404908,0.008505467800729,9.740632318501172,-1.0445538871286235,5
